property	url	status	title
cursor	https://www.w3.org/TR/2018/REC-css-ui-3-20180621/#propdef-cursor	REC	CSS Basic User Interface Module Level 3 (CSS3 UI)
cursor	https://www.w3.org/TR/2021/WD-css-ui-4-20210316/#propdef-cursor	WD	CSS Basic User Interface Module Level 4
direction	http://www.w3.org/TR/2011/REC-CSS2-20110607/visuren.html#propdef-direction	REC	CSS 2.1
direction	https://www.w3.org/TR/2019/CR-css-writing-modes-4-20190730/#propdef-direction	CR	CSS Writing Modes Level 4
direction	https://www.w3.org/TR/2019/REC-css-writing-modes-3-20191210/#propdef-direction	REC	CSS Writing Modes Level 3
display	http://www.w3.org/TR/2011/REC-CSS2-20110607/visuren.html#propdef-display	REC	CSS 2.1
display	https://www.w3.org/TR/2021/CRD-css-display-3-20210903/#propdef-display	CRD	CSS Display Module Level 3
dominant-baseline	https://www.w3.org/TR/2020/WD-css-inline-3-20200827/#propdef-dominant-baseline	WD	CSS Inline Layout Module Level 3
elevation	http://www.w3.org/TR/2011/REC-CSS2-20110607/aural.html#propdef-elevation	REC	CSS 2.1
empty-cells	http://www.w3.org/TR/2011/REC-CSS2-20110607/tables.html#propdef-empty-cells	REC	CSS 2.1
empty-cells	https://www.w3.org/TR/2019/WD-css-tables-3-20190727/#propdef-empty-cells	WD	CSS Table Module Level 3
fill	https://drafts.fxtf.org/fill-stroke/#propdef-fill	ED	CSS Fill and Stroke Module Level 3
fill	https://www.w3.org/TR/2017/WD-fill-stroke-3-20170413/#propdef-fill	FPWD	CSS Fill and Stroke Module Level 3
fill-break	https://drafts.fxtf.org/fill-stroke/#propdef-fill-break	ED	CSS Fill and Stroke Module Level 3
fill-break	https://www.w3.org/TR/2017/WD-fill-stroke-3-20170413/#propdef-fill-break	FPWD	CSS Fill and Stroke Module Level 3
fill-color	https://drafts.fxtf.org/fill-stroke/#propdef-fill-color	ED	CSS Fill and Stroke Module Level 3
fill-color	https://www.w3.org/TR/2017/WD-fill-stroke-3-20170413/#propdef-fill-color	FPWD	CSS Fill and Stroke Module Level 3
fill-image	https://drafts.fxtf.org/fill-stroke/#propdef-fill-image	ED	CSS Fill and Stroke Module Level 3
fill-image	https://www.w3.org/TR/2017/WD-fill-stroke-3-20170413/#propdef-fill-image	FPWD	CSS Fill and Stroke Module Level 3
fill-opacity	https://drafts.fxtf.org/fill-stroke/#propdef-fill-opacity	ED	CSS Fill and Stroke Module Level 3
fill-opacity	https://www.w3.org/TR/2017/WD-fill-stroke-3-20170413/#propdef-fill-opacity	FPWD	CSS Fill and Stroke Module Level 3
fill-origin	https://drafts.fxtf.org/fill-stroke/#propdef-fill-origin	ED	CSS Fill and Stroke Module Level 3
fill-origin	https://www.w3.org/TR/2017/WD-fill-stroke-3-20170413/#propdef-fill-origin	FPWD	CSS Fill and Stroke Module Level 3
fill-position	https://drafts.fxtf.org/fill-stroke/#propdef-fill-position	ED	CSS Fill and Stroke Module Level 3
fill-position	https://www.w3.org/TR/2017/WD-fill-stroke-3-20170413/#propdef-fill-position	FPWD	CSS Fill and Stroke Module Level 3
fill-repeat	https://drafts.fxtf.org/fill-stroke/#propdef-fill-repeat	ED	CSS Fill and Stroke Module Level 3
fill-repeat	https://www.w3.org/TR/2017/WD-fill-stroke-3-20170413/#propdef-fill-repeat	FPWD	CSS Fill and Stroke Module Level 3
fill-rule	https://drafts.fxtf.org/fill-stroke/#propdef-fill-rule	ED	CSS Fill and Stroke Module Level 3
fill-rule	https://www.w3.org/TR/2017/WD-fill-stroke-3-20170413/#propdef-fill-rule	FPWD	CSS Fill and Stroke Module Level 3
fill-size	https://drafts.fxtf.org/fill-stroke/#propdef-fill-size	ED	CSS Fill and Stroke Module Level 3
fill-size	https://www.w3.org/TR/2017/WD-fill-stroke-3-20170413/#propdef-fill-size	FPWD	CSS Fill and Stroke Module Level 3
filter	https://drafts.fxtf.org/filter-effects-1/#propdef-filter	ED	Filter Effects Module Level 1
filter	https://www.w3.org/TR/2018/WD-filter-effects-1-20181218/#propdef-filter	WD	Filter Effects Module Level 1
flex	https://www.w3.org/TR/2018/CR-css-flexbox-1-20181119/#propdef-flex	CR	CSS Flexible Box Layout Module Level 1
flex-basis	https://www.w3.org/TR/2018/CR-css-flexbox-1-20181119/#propdef-flex-basis	CR	CSS Flexible Box Layout Module Level 1
flex-direction	https://www.w3.org/TR/2018/CR-css-flexbox-1-20181119/#propdef-flex-direction	CR	CSS Flexible Box Layout Module Level 1
flex-flow	https://www.w3.org/TR/2018/CR-css-flexbox-1-20181119/#propdef-flex-flow	CR	CSS Flexible Box Layout Module Level 1
flex-grow	https://www.w3.org/TR/2018/CR-css-flexbox-1-20181119/#propdef-flex-grow	CR	CSS Flexible Box Layout Module Level 1
flex-shrink	https://www.w3.org/TR/2018/CR-css-flexbox-1-20181119/#propdef-flex-shrink	CR	CSS Flexible Box Layout Module Level 1
flex-wrap	https://www.w3.org/TR/2018/CR-css-flexbox-1-20181119/#propdef-flex-wrap	CR	CSS Flexible Box Layout Module Level 1
float	http://www.w3.org/TR/2011/REC-CSS2-20110607/visuren.html#propdef-float	REC	CSS 2.1
float	https://www.w3.org/TR/2015/WD-css-page-floats-3-20150915/#propdef-float	FPWD	CSS Page Floats
float-defer	https://www.w3.org/TR/2015/WD-css-page-floats-3-20150915/#propdef-float-defer	FPWD	CSS Page Floats
float-offset	https://www.w3.org/TR/2015/WD-css-page-floats-3-20150915/#propdef-float-offset	FPWD	CSS Page Floats
float-reference	https://www.w3.org/TR/2015/WD-css-page-floats-3-20150915/#propdef-float-reference	FPWD	CSS Page Floats
flood-color	https://drafts.fxtf.org/filter-effects-1/#propdef-flood-color	ED	Filter Effects Module Level 1
flood-color	https://www.w3.org/TR/2018/WD-filter-effects-1-20181218/#propdef-flood-color	WD	Filter Effects Module Level 1
flood-opacity	https://drafts.fxtf.org/filter-effects-1/#propdef-flood-opacity	ED	Filter Effects Module Level 1
flood-opacity	https://www.w3.org/TR/2018/WD-filter-effects-1-20181218/#propdef-flood-opacity	WD	Filter Effects Module Level 1
flow	https://drafts.csswg.org/css-template/#flow0	ED	CSS Template Layout Module
flow	https://www.w3.org/TR/2015/NOTE-css-template-3-20150326/#flow0	NOTE	CSS Template Layout Module
flow-from	https://www.w3.org/TR/2014/WD-css-regions-1-20141009/#propdef-flow-from	WD	CSS Regions Module Level 1
flow-into	https://www.w3.org/TR/2014/WD-css-regions-1-20141009/#propdef-flow-into	WD	CSS Regions Module Level 1
font	http://www.w3.org/TR/2011/REC-CSS2-20110607/fonts.html#propdef-font	REC	CSS 2.1
font	https://drafts.csswg.org/css-fonts-3/#propdef-font	ED	CSS Fonts Module Level 3
font	https://www.w3.org/TR/2018/REC-css-fonts-3-20180920/#propdef-font	REC	CSS Fonts Module Level 3
font	https://www.w3.org/TR/2021/WD-css-fonts-4-20211221/#propdef-font	WD	CSS Fonts Module Level 4
font-family	http://www.w3.org/TR/2011/REC-CSS2-20110607/fonts.html#propdef-font-family	REC	CSS 2.1
font-family	https://drafts.csswg.org/css-fonts-3/#propdef-font-family	ED	CSS Fonts Module Level 3
font-family	https://www.w3.org/TR/2018/REC-css-fonts-3-20180920/#propdef-font-family	REC	CSS Fonts Module Level 3
font-family	https://www.w3.org/TR/2021/WD-css-fonts-4-20211221/#propdef-font-family	WD	CSS Fonts Module Level 4
font-feature-settings	https://drafts.csswg.org/css-fonts-3/#propdef-font-feature-settings	ED	CSS Fonts Module Level 3
font-feature-settings	https://www.w3.org/TR/2018/REC-css-fonts-3-20180920/#propdef-font-feature-settings	REC	CSS Fonts Module Level 3
font-feature-settings	https://www.w3.org/TR/2021/WD-css-fonts-4-20211221/#propdef-font-feature-settings	WD	CSS Fonts Module Level 4
font-kerning	https://drafts.csswg.org/css-fonts-3/#propdef-font-kerning	ED	CSS Fonts Module Level 3
font-kerning	https://www.w3.org/TR/2018/REC-css-fonts-3-20180920/#propdef-font-kerning	REC	CSS Fonts Module Level 3
font-kerning	https://www.w3.org/TR/2021/WD-css-fonts-4-20211221/#propdef-font-kerning	WD	CSS Fonts Module Level 4
font-language-override	https://www.w3.org/TR/2021/WD-css-fonts-4-20211221/#propdef-font-language-override	WD	CSS Fonts Module Level 4
font-optical-sizing	https://www.w3.org/TR/2021/WD-css-fonts-4-20211221/#propdef-font-optical-sizing	WD	CSS Fonts Module Level 4
font-palette	https://www.w3.org/TR/2021/WD-css-fonts-4-20211221/#propdef-font-palette	WD	CSS Fonts Module Level 4
font-size	http://www.w3.org/TR/2011/REC-CSS2-20110607/fonts.html#propdef-font-size	REC	CSS 2.1
font-size	https://drafts.csswg.org/css-fonts-3/#propdef-font-size	ED	CSS Fonts Module Level 3
font-size	https://www.w3.org/TR/2018/REC-css-fonts-3-20180920/#propdef-font-size	REC	CSS Fonts Module Level 3
font-size	https://www.w3.org/TR/2021/WD-css-fonts-4-20211221/#propdef-font-size	WD	CSS Fonts Module Level 4
font-size-adjust	https://drafts.csswg.org/css-fonts-3/#propdef-font-size-adjust	ED	CSS Fonts Module Level 3
font-size-adjust	https://www.w3.org/TR/2018/REC-css-fonts-3-20180920/#propdef-font-size-adjust	REC	CSS Fonts Module Level 3
font-size-adjust	https://www.w3.org/TR/2021/WD-css-fonts-4-20211221/#propdef-font-size-adjust	WD	CSS Fonts Module Level 4
font-size-adjust	https://www.w3.org/TR/2021/WD-css-fonts-5-20211221/#propdef-font-size-adjust	WD	CSS Fonts Module Level 5
font-stretch	https://drafts.csswg.org/css-fonts-3/#propdef-font-stretch	ED	CSS Fonts Module Level 3
font-stretch	https://www.w3.org/TR/2018/REC-css-fonts-3-20180920/#propdef-font-stretch	REC	CSS Fonts Module Level 3
font-stretch	https://www.w3.org/TR/2021/WD-css-fonts-4-20211221/#propdef-font-stretch	WD	CSS Fonts Module Level 4
font-style	http://www.w3.org/TR/2011/REC-CSS2-20110607/fonts.html#propdef-font-style	REC	CSS 2.1
font-style	https://drafts.csswg.org/css-fonts-3/#propdef-font-style	ED	CSS Fonts Module Level 3
font-style	https://www.w3.org/TR/2018/REC-css-fonts-3-20180920/#propdef-font-style	REC	CSS Fonts Module Level 3
font-style	https://www.w3.org/TR/2021/WD-css-fonts-4-20211221/#propdef-font-style	WD	CSS Fonts Module Level 4
font-synthesis	https://drafts.csswg.org/css-fonts-3/#propdef-font-synthesis	ED	CSS Fonts Module Level 3
font-synthesis	https://www.w3.org/TR/2018/REC-css-fonts-3-20180920/#propdef-font-synthesis	REC	CSS Fonts Module Level 3
font-synthesis	https://www.w3.org/TR/2021/WD-css-fonts-4-20211221/#propdef-font-synthesis	WD	CSS Fonts Module Level 4
font-synthesis-small-caps	https://www.w3.org/TR/2021/WD-css-fonts-4-20211221/#propdef-font-synthesis-small-caps	WD	CSS Fonts Module Level 4
font-synthesis-style	https://www.w3.org/TR/2021/WD-css-fonts-4-20211221/#propdef-font-synthesis-style	WD	CSS Fonts Module Level 4
font-synthesis-weight	https://www.w3.org/TR/2021/WD-css-fonts-4-20211221/#propdef-font-synthesis-weight	WD	CSS Fonts Module Level 4
